date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:35	21183/21183	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202024%2009:01:35%20GMT	https://gumascargo.com/contact.php	C:/My%20Web%20Sites/fijass/gumascargo.com/contact.html	(from https://gumascargo.com/)
12:01:36	291348/291348	---M--	200	added ('OK')	image/webp	date:Thu,%2009%20Mar%202023%2011:16:18%20GMT	https://gumascargo.com/assets/img/banner/1.webp	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/banner/1.webp	(from https://gumascargo.com/)
12:01:36	326988/326988	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Mar%202023%2021:54:42%20GMT	https://gumascargo.com/assets/img/banner/web.jpg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/banner/web.jpg	(from https://gumascargo.com/)
12:01:37	471/471	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202022%2008:47:16%20GMT	https://gumascargo.com/assets/img/icon/feature-1.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/icon/feature-1.png	(from https://gumascargo.com/)
12:01:37	248/248	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202022%2013:31:18%20GMT	https://gumascargo.com/assets/img/about/shape.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/about/shape.png	(from https://gumascargo.com/)
12:01:38	345205/345205	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2011:20:40%20GMT	https://gumascargo.com/assets/img/about/10.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/about/10.png	(from https://gumascargo.com/)
12:01:38	788/788	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202022%2013:57:16%20GMT	https://gumascargo.com/assets/img/about/shape-3.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/about/shape-3.png	(from https://gumascargo.com/)
12:01:38	114716/114716	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2011:20:32%20GMT	https://gumascargo.com/assets/img/about/9.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/about/9.png	(from https://gumascargo.com/)
12:01:38	454/454	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202022%2015:19:48%20GMT	https://gumascargo.com/assets/img/icon/check.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/icon/check.png	(from https://gumascargo.com/)
12:01:39	371738/371738	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2011:21:14%20GMT	https://gumascargo.com/assets/img/about/12.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/about/12.png	(from https://gumascargo.com/)
12:01:40	183631/183631	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202022%2016:19:12%20GMT	https://gumascargo.com/assets/img/service/bg.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/service/bg.png	(from https://gumascargo.com/)
12:01:40	322377/322377	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Mar%202023%2020:36:59%20GMT	https://gumascargo.com/assets/img/service/20.jpeg	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/service/20.jpg	(from https://gumascargo.com/)
12:01:41	1659/1659	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Jul%202022%2017:44:04%20GMT	https://gumascargo.com/assets/img/service/service-icon-1.png	C:/My%20Web%20Sites/fijass/gumascargo.com/assets/img/service/service-icon-1.png	(from https://gumascargo.com/)
